TR_ACC,TE_ACC,LR,DECAY,MOMENTUM,NESTEROV,EPOCHS,BATCH_SZ,HIDDEN_DIM,NUM_LAYERS,PARAMS
0.0785,0.0794,0.0,0.0,0.0,False,1,1,1,3,807
0.0424,0.0485,0.0,0.0,0.0,False,1,1,1,13,827
0.1012,0.1096,0.0,0.0,0.0,False,1,1,1,23,847
0.0987,0.098,0.0,0.0,0.0,False,1,1,1,33,867
0.0987,0.098,0.0,0.0,0.0,False,1,1,1,43,887
0.0398,0.0368,0.0,0.0,0.0,False,1,1,1,53,907
0.0987,0.098,0.0,0.0,0.0,False,1,1,1,63,927
0.0987,0.098,0.0,0.0,0.0,False,1,1,1,73,947
0.0987,0.098,0.0,0.0,0.0,False,1,1,1,83,967
0.0987,0.098,0.0,0.0,0.0,False,1,1,1,93,987
0.0872,0.0826,0.0,0.0,0.0,False,1,1,11,3,8887
0.1189,0.1162,0.0,0.0,0.0,False,1,1,11,13,10207
0.1184,0.1266,0.0,0.0,0.0,False,1,1,11,23,11527
0.0823,0.0779,0.0,0.0,0.0,False,1,1,11,33,12847
0.1144,0.108,0.0,0.0,0.0,False,1,1,11,43,14167
0.1099,0.1109,0.0,0.0,0.0,False,1,1,11,53,15487
0.082,0.0773,0.0,0.0,0.0,False,1,1,11,63,16807
0.1507,0.1582,0.0,0.0,0.0,False,1,1,11,73,18127
0.0885,0.0917,0.0,0.0,0.0,False,1,1,11,83,19447
0.0772,0.0745,0.0,0.0,0.0,False,1,1,11,93,20767
0.0921,0.1001,0.0,0.0,0.0,False,1,1,21,3,17167
0.1114,0.1069,0.0,0.0,0.0,False,1,1,21,13,21787
0.0522,0.0546,0.0,0.0,0.0,False,1,1,21,23,26407
0.0901,0.0876,0.0,0.0,0.0,False,1,1,21,33,31027
0.0897,0.0873,0.0,0.0,0.0,False,1,1,21,43,35647
0.0591,0.0539,0.0,0.0,0.0,False,1,1,21,53,40267
0.1392,0.1315,0.0,0.0,0.0,False,1,1,21,63,44887
0.0872,0.091,0.0,0.0,0.0,False,1,1,21,73,49507
0.0559,0.057,0.0,0.0,0.0,False,1,1,21,83,54127
0.0972,0.0926,0.0,0.0,0.0,False,1,1,21,93,58747
0.097,0.0964,0.0,0.0,0.0,False,1,1,31,3,25647
0.1388,0.1424,0.0,0.0,0.0,False,1,1,31,13,35567
0.1262,0.1213,0.0,0.0,0.0,False,1,1,31,23,45487
0.1227,0.1247,0.0,0.0,0.0,False,1,1,31,33,55407
0.117,0.1147,0.0,0.0,0.0,False,1,1,31,43,65327
0.1361,0.1346,0.0,0.0,0.0,False,1,1,31,53,75247
0.1033,0.0984,0.0,0.0,0.0,False,1,1,31,63,85167
0.0828,0.0843,0.0,0.0,0.0,False,1,1,31,73,95087
0.1159,0.1088,0.0,0.0,0.0,False,1,1,31,83,105007
0.1363,0.134,0.0,0.0,0.0,False,1,1,31,93,114927
0.123,0.1231,0.0,0.0,0.0,False,1,1,41,3,34327
0.1335,0.1331,0.0,0.0,0.0,False,1,1,41,13,51547
0.0836,0.0772,0.0,0.0,0.0,False,1,1,41,23,68767
0.0737,0.0671,0.0,0.0,0.0,False,1,1,41,33,85987
0.1005,0.0999,0.0,0.0,0.0,False,1,1,41,43,103207
0.0737,0.0763,0.0,0.0,0.0,False,1,1,41,53,120427
0.1123,0.1128,0.0,0.0,0.0,False,1,1,41,63,137647
0.149,0.1453,0.0,0.0,0.0,False,1,1,41,73,154867
0.1196,0.1208,0.0,0.0,0.0,False,1,1,41,83,172087
0.1112,0.1182,0.0,0.0,0.0,False,1,1,41,93,189307
0.082,0.0806,0.0,0.0,0.0,False,1,1,51,3,43207
0.0872,0.0778,0.0,0.0,0.0,False,1,1,51,13,69727
0.087,0.0871,0.0,0.0,0.0,False,1,1,51,23,96247
0.1145,0.12,0.0,0.0,0.0,False,1,1,51,33,122767
0.0912,0.0898,0.0,0.0,0.0,False,1,1,51,43,149287
0.0872,0.0866,0.0,0.0,0.0,False,1,1,51,53,175807
0.1157,0.1163,0.0,0.0,0.0,False,1,1,51,63,202327
0.0951,0.097,0.0,0.0,0.0,False,1,1,51,73,228847
0.0861,0.0939,0.0,0.0,0.0,False,1,1,51,83,255367
0.1626,0.1708,0.0,0.0,0.0,False,1,1,51,93,281887
0.0787,0.0803,0.0,0.0,0.0,False,1,1,61,3,52287
0.0691,0.0711,0.0,0.0,0.0,False,1,1,61,13,90107
0.0766,0.0737,0.0,0.0,0.0,False,1,1,61,23,127927
0.1178,0.1129,0.0,0.0,0.0,False,1,1,61,33,165747
0.0878,0.0957,0.0,0.0,0.0,False,1,1,61,43,203567
0.1161,0.1093,0.0,0.0,0.0,False,1,1,61,53,241387
0.0956,0.0992,0.0,0.0,0.0,False,1,1,61,63,279207
0.1031,0.1072,0.0,0.0,0.0,False,1,1,61,73,317027
0.0908,0.0945,0.0,0.0,0.0,False,1,1,61,83,354847
0.1019,0.1024,0.0,0.0,0.0,False,1,1,61,93,392667
0.1188,0.12,0.0,0.0,0.0,False,1,1,71,3,61567
0.0797,0.0734,0.0,0.0,0.0,False,1,1,71,13,112687
0.0605,0.0568,0.0,0.0,0.0,False,1,1,71,23,163807
0.0697,0.0653,0.0,0.0,0.0,False,1,1,71,33,214927
0.0576,0.0549,0.0,0.0,0.0,False,1,1,71,43,266047
0.1313,0.1401,0.0,0.0,0.0,False,1,1,71,53,317167
0.108,0.1086,0.0,0.0,0.0,False,1,1,71,63,368287
0.1074,0.1099,0.0,0.0,0.0,False,1,1,71,73,419407
0.1069,0.1063,0.0,0.0,0.0,False,1,1,71,83,470527
0.082,0.0829,0.0,0.0,0.0,False,1,1,71,93,521647
0.129,0.123,0.0,0.0,0.0,False,1,1,81,3,71047
0.1346,0.1207,0.0,0.0,0.0,False,1,1,81,13,137467
0.0975,0.0963,0.0,0.0,0.0,False,1,1,81,23,203887
0.0774,0.0683,0.0,0.0,0.0,False,1,1,81,33,270307
0.1457,0.142,0.0,0.0,0.0,False,1,1,81,43,336727
0.0927,0.0893,0.0,0.0,0.0,False,1,1,81,53,403147
0.0873,0.0879,0.0,0.0,0.0,False,1,1,81,63,469567
0.0986,0.0939,0.0,0.0,0.0,False,1,1,81,73,535987
0.1071,0.1097,0.0,0.0,0.0,False,1,1,81,83,602407
0.1526,0.1529,0.0,0.0,0.0,False,1,1,81,93,668827
0.0485,0.0417,0.0,0.0,0.0,False,1,1,91,3,80727
0.1001,0.095,0.0,0.0,0.0,False,1,1,91,13,164447
0.0797,0.0722,0.0,0.0,0.0,False,1,1,91,23,248167
0.0675,0.0608,0.0,0.0,0.0,False,1,1,91,33,331887
0.1607,0.1598,0.0,0.0,0.0,False,1,1,91,43,415607
0.073,0.0682,0.0,0.0,0.0,False,1,1,91,53,499327
0.08,0.0816,0.0,0.0,0.0,False,1,1,91,63,583047
0.0823,0.0763,0.0,0.0,0.0,False,1,1,91,73,666767
0.1044,0.0932,0.0,0.0,0.0,False,1,1,91,83,750487
0.0964,0.0942,0.0,0.0,0.0,False,1,1,91,93,834207
0.0949,0.0955,0.0,0.0,0.0,False,1,11,1,3,807
